"","pathway_name","complex_ID","pathway_ID","top_level_pathway_ID","top_level_pathway_name","species"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",NA,NA,NA,NA,NA
"2","Abacavir ADME",NA,NA,NA,NA,NA
"3","ABC transporter disorders",NA,NA,NA,NA,NA
"4","ABC transporters in lipid homeostasis","R-HSA-1454940","R-HSA-1369062","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"5","ABC-family proteins mediated transport","R-HSA-5223347","R-HSA-382556","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"6","Aberrant regulation of mitotic cell cycle due to RB1 defects",NA,NA,NA,NA,NA
"7","Aberrant regulation of mitotic exit in cancer due to RB1 defects","R-HSA-174109","R-HSA-9687136","R-HSA-1643685","Disease","Homo sapiens (Human)"
"8","Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects",NA,NA,NA,NA,NA
"9","Abortive elongation of HIV-1 transcript in the absence of Tat","R-HSA-109631","R-HSA-167242","R-HSA-1643685","Disease","Homo sapiens (Human)"
"10","Acetylcholine binding and downstream events",NA,NA,NA,NA,NA
"11","Acetylcholine Neurotransmitter Release Cycle","R-HSA-210372","R-HSA-264642","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"12","Acetylcholine regulates insulin secretion","R-HSA-399987","R-HSA-399997","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"13","Activated NOTCH1 Transmits Signal to the Nucleus","R-HSA-157008","R-HSA-2122948","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"14","Activated NTRK2 signals through FRS2 and FRS3","R-HSA-109783","R-HSA-9028731","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"15","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","R-HSA-5618087","R-HSA-5625886","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"16","Activated point mutants of FGFR2","R-HSA-2011931","R-HSA-2033519","R-HSA-1643685","Disease","Homo sapiens (Human)"
"17","activated TAK1 mediates p38 MAPK activation","R-HSA-168408","R-HSA-450302","R-HSA-168256","Immune System","Homo sapiens (Human)"
"18","Activation of AMPK downstream of NMDARs","R-HSA-190509","R-HSA-9619483","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"19","Activation of anterior HOX genes in hindbrain development during early embryogenesis","R-HSA-1214169","R-HSA-5617472","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"20","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",NA,NA,NA,NA,NA
"21","Activation of ATR in response to replication stress","R-HSA-156562","R-HSA-176187","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"22","Activation of BAD and translocation to mitochondria ","R-HSA-114268","R-HSA-111447","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"23","Activation of BH3-only proteins",NA,NA,NA,NA,NA
"24","Activation of Ca-permeable Kainate Receptor","R-HSA-450191","R-HSA-451308","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"25","Activation of G protein gated Potassium channels","R-HSA-1013011","R-HSA-1296041","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"26","Activation of GABAB receptors",NA,NA,NA,NA,NA
"27","Activation of gene expression by SREBF (SREBP)","R-HSA-1655714","R-HSA-2426168","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"28","Activation of HOX genes during differentiation",NA,NA,NA,NA,NA
"29","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",NA,NA,NA,NA,NA
"30","Activation of kainate receptors upon glutamate binding",NA,NA,NA,NA,NA
"31","Activation of Matrix Metalloproteinases","R-HSA-158140","R-HSA-1592389","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"32","Activation of NF-kappaB in B cells","R-HSA-1168586","R-HSA-1169091","R-HSA-168256","Immune System","Homo sapiens (Human)"
"33","Activation of NMDA receptors and postsynaptic events",NA,NA,NA,NA,NA
"34","Activation of PPARGC1A (PGC-1alpha) by phosphorylation","R-HSA-2151198","R-HSA-2151209","R-HSA-1852241","Organelle biogenesis and maintenance","Homo sapiens (Human)"
"35","Activation of RAC1","R-HSA-390371","R-HSA-428540","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"36","Activation of SMO","R-HSA-5610574","R-HSA-5635838","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"37","Activation of the AP-1 family of transcription factors","R-HSA-109845","R-HSA-450341","R-HSA-168256","Immune System","Homo sapiens (Human)"
